mean_position_error_mm,rmse_position_error_mm,median_position_error_mm,p95_position_error_mm,max_position_error_mm,final_position_error_mm,settled_final_position_error_mm,mean_orientation_error_deg,rmse_orientation_error_deg,p95_orientation_error_deg,max_orientation_error_deg,final_orientation_error_deg,total_joint_travel_rad,max_joint_travel_rad,rms_joint_velocity_rad_s,peak_joint_velocity_rad_s,rms_joint_accel_rad_s2,peak_joint_accel_rad_s2,mean_manipulability,min_manipulability,mean_sigma_min,min_sigma_min,max_condition_number,singularity_warning_count,singularity_time_pct,self_collision_events,env_collision_events,joint_limit_events,velocity_saturation_events,settled_within_tolerance,time_to_final_goal_tolerance_s,success,failure_reason,experiment_name,robot_name,controller_type,trial_index
1.8149713703434132,2.021474076182112,1.5580490155607616,3.219164474910869,3.2410842373562954,0.904774684403253,0.904774684403253,0.004409082694826643,0.004412989443974003,0.004662426932014724,0.004668958782793762,0.00461849294849191,0.46114669737185615,0.1820772870484707,0.03939651796473795,0.13711348525292902,0.05770330232704688,0.17322825764057198,0.08036465491616505,0.08021417459593012,0.21243529198968067,0.21192559933553032,8.877298008937949,0,0.0,0,0,0,0,True,2.0833333333333335,True,,line,panda,ik,0
1.8149713703434132,2.021474076182112,1.5580490155607616,3.219164474910869,3.2410842373562954,0.904774684403253,0.904774684403253,0.004409082694826643,0.004412989443974003,0.004662426932014724,0.004668958782793762,0.00461849294849191,0.46114669737185615,0.1820772870484707,0.03939651796473795,0.13711348525292902,0.05770330232704688,0.17322825764057198,0.08036465491616505,0.08021417459593012,0.21243529198968067,0.21192559933553032,8.877298008937949,0,0.0,0,0,0,0,True,2.0833333333333335,True,,line,panda,ik,1
1.8149713703434132,2.021474076182112,1.5580490155607616,3.219164474910869,3.2410842373562954,0.904774684403253,0.904774684403253,0.004409082694826643,0.004412989443974003,0.004662426932014724,0.004668958782793762,0.00461849294849191,0.46114669737185615,0.1820772870484707,0.03939651796473795,0.13711348525292902,0.05770330232704688,0.17322825764057198,0.08036465491616505,0.08021417459593012,0.21243529198968067,0.21192559933553032,8.877298008937949,0,0.0,0,0,0,0,True,2.0833333333333335,True,,line,panda,ik,2
8.173787913678337,10.227480812799817,7.641481351441379,17.135928074818356,17.254949482037592,0.36642992250739814,0.36642992250739814,0.006676279147053658,0.006775040317448445,0.007927424274884076,0.008171215294253305,0.006757937462223078,0.44664044578379986,0.18441490782097203,0.037402831641940415,0.13016752095652523,0.051868368933727885,0.1494527901076666,0.08037442527976932,0.08021166736221673,0.21239707126924862,0.211868719639009,8.881334779842142,0,0.0,0,0,0,0,True,2.375,True,,line,panda,resolved-rate,0
8.173787913678337,10.227480812799817,7.641481351441379,17.135928074818356,17.254949482037592,0.36642992250739814,0.36642992250739814,0.006676279147053658,0.006775040317448445,0.007927424274884076,0.008171215294253305,0.006757937462223078,0.44664044578379986,0.18441490782097203,0.037402831641940415,0.13016752095652523,0.051868368933727885,0.1494527901076666,0.08037442527976932,0.08021166736221673,0.21239707126924862,0.211868719639009,8.881334779842142,0,0.0,0,0,0,0,True,2.375,True,,line,panda,resolved-rate,1
8.173787913678337,10.227480812799817,7.641481351441379,17.135928074818356,17.254949482037592,0.36642992250739814,0.36642992250739814,0.006676279147053658,0.006775040317448445,0.007927424274884076,0.008171215294253305,0.006757937462223078,0.44664044578379986,0.18441490782097203,0.037402831641940415,0.13016752095652523,0.051868368933727885,0.1494527901076666,0.08037442527976932,0.08021166736221673,0.21239707126924862,0.211868719639009,8.881334779842142,0,0.0,0,0,0,0,True,2.375,True,,line,panda,resolved-rate,2
20.45023220306408,20.450309017862658,20.462055449669588,20.503865701030527,20.50402252735379,20.50402252735379,20.50402252735379,0.07133488932851924,0.07145065067731049,0.08005653194989613,0.08169897072147903,0.06742556854822213,1.7223369740560273,0.462225097212273,0.15417714751489497,0.8366493186599129,0.31164296361420946,1.937996745006565,0.08352303529837211,0.08290964182198204,0.23757831578166386,0.23396643085011665,7.955502944295879,0,0.0,0,0,0,0,False,3.0,False,Final position error 20.50mm exceeded bound 10.00mm,line,kuka_iiwa,ik,0
20.45023220306408,20.450309017862658,20.462055449669588,20.503865701030527,20.50402252735379,20.50402252735379,20.50402252735379,0.07133488932851924,0.07145065067731049,0.08005653194989613,0.08169897072147903,0.06742556854822213,1.7223369740560273,0.462225097212273,0.15417714751489497,0.8366493186599129,0.31164296361420946,1.937996745006565,0.08352303529837211,0.08290964182198204,0.23757831578166386,0.23396643085011665,7.955502944295879,0,0.0,0,0,0,0,False,3.0,False,Final position error 20.50mm exceeded bound 10.00mm,line,kuka_iiwa,ik,1
20.45023220306408,20.450309017862658,20.462055449669588,20.503865701030527,20.50402252735379,20.50402252735379,20.50402252735379,0.07133488932851924,0.07145065067731049,0.08005653194989613,0.08169897072147903,0.06742556854822213,1.7223369740560273,0.462225097212273,0.15417714751489497,0.8366493186599129,0.31164296361420946,1.937996745006565,0.08352303529837211,0.08290964182198204,0.23757831578166386,0.23396643085011665,7.955502944295879,0,0.0,0,0,0,0,False,3.0,False,Final position error 20.50mm exceeded bound 10.00mm,line,kuka_iiwa,ik,2
9.470201563589008,11.022622973623399,9.465574055922422,17.232339033376928,20.076873029648603,0.4149036781264076,0.4149036781264076,0.045010059415358045,0.06824954465726436,0.16664675785581273,0.17615519991959747,0.009018019406933482,0.6588187010176544,0.2392863277474664,0.05095342894627575,0.17125033776143261,0.10567734834723616,0.6648314655634934,0.0837885369554195,0.08323792037981627,0.25459221968220114,0.25251829307280627,7.388570047447738,0,0.0,0,0,0,0,True,2.375,True,,line,kuka_iiwa,resolved-rate,0
